,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.4287704918032787,0.3796983183200841,0.0,0.06,0.33,0.8474999999999999,1.0,1.0,88.55514210485616
dewpt (°C),366.0,20.25737704918033,5.382323957499383,5.9,15.9,20.7,25.3,26.9,21.0,26.569698260699386
dhi (W/m²),366.0,49.40710382513661,5.003106303595919,41.0,45.0,50.5,54.0,55.0,14.0,10.126289371874725
dni (W/m²),366.0,394.1885245901639,34.408504515928634,339.0,361.0,400.0,428.0,437.0,98.0,8.728946270494049
ghi (W/m²),366.0,301.69945355191254,53.29383371488059,213.0,250.25,316.5,354.0,361.0,148.0,17.664544329613936
max_dhi (W/m²),366.0,123.44808743169399,4.165255393903757,115.0,120.0,126.0,126.0,128.0,13.0,3.3740947150829426
max_dni (W/m²),366.0,934.24043715847,13.3587836303438,907.0,928.0,936.0,941.0,955.0,48.0,1.4299085223687256
max_ghi (W/m²),366.0,952.1612021857924,110.08874986468857,753.0,849.5,1003.5,1048.0,1061.0,308.0,11.561986522026684
max_temp (°C),366.0,32.98087431693989,3.427290203292559,26.7,30.0,32.6,35.6,41.9,15.2,10.391750595684506
max_uv (Index),366.0,6.95136612021858,2.6811540742184756,2.2,4.4,6.7,8.9,12.1,9.899999999999999,38.570174953382676
max_wind_dir (°),366.0,184.71584699453553,65.51771585342775,27.0,147.5,210.5,231.0,325.0,298.0,35.469461293900764
max_wind_spd (m/s),366.0,3.9322404371584696,1.3661259722911996,1.6,2.8,3.6,4.8,8.8,7.200000000000001,34.741669389840126
min_temp (°C),366.0,23.225409836065573,4.218703848380607,13.3,19.6,24.8,26.3,30.0,16.7,18.16417397220519
precip (mm),366.0,5.741803278688525,15.32417290085965,0.0,0.0,0.0,1.8,99.5,99.5,266.8878078379554
precip_gpm (mm/hr),366.0,5.741803278688525,15.32417290085965,0.0,0.0,0.0,1.8,99.5,99.5,266.8878078379554
pres (hPa),366.0,999.6092896174863,4.627827803506263,988.0,996.0,1000.0,1003.0,1008.0,20.0,0.46296366506129233
rh (%),366.0,0.67775956284153,0.15943361087977823,0.31,0.55,0.67,0.83,0.97,0.6599999999999999,23.52362395468791
slp (hPa),366.0,1008.6147540983607,4.716244247532185,997.0,1005.0,1009.0,1013.0,1017.0,20.0,0.4675961984859339
solar_rad (W/m²),366.0,221.91803278688525,95.57424913953143,30.0,144.25,231.5,300.0,360.0,330.0,43.06736498124708
temp (°C),366.0,27.723770491803283,3.2242587325738823,20.9,25.7,27.9,29.675,35.2,14.300000000000004,11.629943097123661
wind_dir (°),366.0,184.71584699453553,65.51771585342775,27.0,147.5,210.5,231.0,325.0,298.0,35.469461293900764
wind_gust_spd (m/s),366.0,8.201092896174865,2.557695646765589,4.4,6.4,7.6,9.6,16.8,12.4,31.18725368857294
wind_spd (m/s),366.0,2.778142076502732,1.23750205380986,0.9,1.9,2.4,3.4,7.2,6.3,44.54423207065389
query_lat (°),366.0,21.110000000000007,7.115154162096749e-15,21.11,21.11,21.11,21.11,21.11,0.0,3.3705135774972745e-14
query_lon (°),366.0,73.38000000000001,1.4230308324193497e-14,73.38,73.38,73.38,73.38,73.38,0.0,1.9392625135177836e-14
