Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.1212499999999999,2.0287499999999996
dewpt (°C),0,0.00%,0,1.799999999999999,39.400000000000006
dhi (W/m²),0,0.00%,0,31.5,67.5
dni (W/m²),0,0.00%,0,260.5,528.5
ghi (W/m²),0,0.00%,0,94.625,509.625
max_dhi (W/m²),0,0.00%,0,111.0,135.0
max_dni (W/m²),18,4.92%,0,908.5,960.5
max_ghi (W/m²),0,0.00%,0,551.75,1345.75
max_temp (°C),0,0.00%,0,21.599999999999998,44.0
max_uv (Index),0,0.00%,0,-2.3499999999999996,15.65
max_wind_dir (°),0,0.00%,0,22.25,356.25
max_wind_spd (m/s),3,0.82%,1,-0.20000000000000018,7.8
min_temp (°C),0,0.00%,0,9.550000000000002,36.35
precip (mm),76,20.77%,11,-2.7,4.5
precip_gpm (mm/hr),76,20.77%,11,-2.7,4.5
pres (hPa),0,0.00%,0,985.5,1013.5
rh (%),0,0.00%,0,0.13000000000000017,1.2499999999999998
slp (hPa),0,0.00%,0,993.0,1025.0
solar_rad (W/m²),0,0.00%,0,-89.375,533.625
temp (°C),0,0.00%,0,19.737499999999997,35.6375
wind_dir (°),0,0.00%,0,22.25,356.25
wind_gust_spd (m/s),13,3.55%,2,1.6000000000000014,14.399999999999999
wind_spd (m/s),12,3.28%,3,-0.3500000000000001,5.65
query_lat (°),0,0.00%,0,21.11,21.11
query_lon (°),0,0.00%,0,73.38,73.38
