,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.42576502732240434,0.37492697295277855,0.0,0.07,0.33,0.8574999999999999,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,19.664207650273227,4.901842292813238,6.1,16.025,19.85,24.4,26.1
dhi (W/m²),366.0,,,,49.169398907103826,5.075727161012488,41.0,44.0,50.0,54.0,55.0
dni (W/m²),366.0,,,,395.8360655737705,34.83912789805534,341.0,363.0,399.5,431.0,439.0
ghi (W/m²),366.0,,,,301.94262295081967,53.72114185696679,212.0,249.5,316.5,354.0,362.0
max_dhi (W/m²),366.0,,,,122.68306010928961,4.113204587658948,115.0,119.0,125.0,126.0,127.0
max_dni (W/m²),366.0,,,,936.3934426229508,13.389972148711669,910.0,929.25,938.0,943.0,957.0
max_ghi (W/m²),366.0,,,,953.2568306010929,110.99161831767616,753.0,849.5,1004.5,1051.0,1063.0
max_temp (°C),366.0,,,,32.22622950819672,3.7423339712886565,25.6,29.3,31.5,35.2,41.9
max_uv (Index),366.0,,,,7.094535519125684,2.7216378383966644,2.2,4.7,6.8,9.275,12.1
max_wind_dir (°),366.0,,,,205.95628415300547,78.74841682333715,58.0,128.75,250.0,263.0,314.0
max_wind_spd (m/s),366.0,,,,3.763934426229508,1.258052348178244,1.6,2.8,3.6,4.4,8.0
min_temp (°C),366.0,,,,22.425956284153006,4.3871616609351864,12.2,18.9,24.4,25.6,30.7
precip (mm),366.0,,,,4.453551912568306,13.437752011782866,0.0,0.0,0.0,1.225,115.3
precip_gpm (mm/hr),366.0,,,,4.453551912568306,13.437752011782866,0.0,0.0,0.0,1.225,115.3
pres (hPa),366.0,,,,996.8387978142076,4.861785305729667,986.0,993.0,997.0,1001.0,1006.0
rh (%),366.0,,,,0.6790437158469944,0.15027431811999223,0.38,0.55,0.66,0.81,0.97
slp (hPa),366.0,,,,1008.8387978142076,5.0050629355829175,997.0,1005.0,1009.0,1013.0,1018.0
solar_rad (W/m²),366.0,,,,224.58196721311475,94.41153053830462,32.0,164.5,233.0,302.75,362.0
temp (°C),366.0,,,,26.98087431693989,3.6498624932697026,18.8,24.225,27.15,29.4,35.6
wind_dir (°),366.0,,,,205.95628415300547,78.74841682333715,58.0,128.75,250.0,263.0,314.0
wind_gust_spd (m/s),366.0,,,,8.27103825136612,2.4219956706546384,3.6,6.8,7.8,9.6,16.4
wind_spd (m/s),366.0,,,,2.6333333333333333,1.123391798269905,0.9,1.8,2.3,3.3,6.9
market_name (Text),366,1,Nizar_Kukarmuda,366,,,,,,,
query_lat (°),366.0,,,,21.509999999999998,3.557577081048374e-15,21.51,21.51,21.51,21.51,21.51
query_lon (°),366.0,,,,74.13000000000001,1.4230308324193497e-14,74.13,74.13,74.13,74.13,74.13
