,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.4204098360655738,0.379059537466191,0.0,0.06,0.31,0.86,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,20.05464480874317,5.469002840123083,5.2,15.525,20.4,25.275,27.0
dhi (W/m²),366.0,,,,49.40710382513661,5.003106303595919,41.0,45.0,50.5,54.0,55.0
dni (W/m²),366.0,,,,394.1885245901639,34.408504515928634,339.0,361.0,400.0,428.0,437.0
ghi (W/m²),366.0,,,,301.69945355191254,53.29383371488059,213.0,250.25,316.5,354.0,361.0
max_dhi (W/m²),366.0,,,,123.44808743169399,4.165255393903757,115.0,120.0,126.0,126.0,128.0
max_dni (W/m²),366.0,,,,934.24043715847,13.3587836303438,907.0,928.0,936.0,941.0,955.0
max_ghi (W/m²),366.0,,,,952.1612021857924,110.08874986468857,753.0,849.5,1003.5,1048.0,1061.0
max_temp (°C),366.0,,,,33.321311475409836,3.7993055495552936,26.3,30.4,32.6,35.9,44.1
max_uv (Index),366.0,,,,7.028415300546448,2.7010320102145418,2.2,4.725,6.6,9.174999999999999,12.1
max_wind_dir (°),366.0,,,,185.5792349726776,70.1342978293493,29.0,144.25,213.0,234.75,343.0
max_wind_spd (m/s),366.0,,,,4.137704918032787,1.4213438288504874,1.6,3.2,4.0,4.8,9.2
min_temp (°C),366.0,,,,23.6775956284153,4.085174091008099,14.4,20.4,25.2,26.7,30.7
precip (mm),366.0,,,,6.144808743169399,15.965298424988399,0.0,0.0,0.0,2.3,105.5
precip_gpm (mm/hr),366.0,,,,6.144808743169399,15.965298424988399,0.0,0.0,0.0,2.3,105.5
pres (hPa),366.0,,,,1003.4398907103825,4.788163944626979,992.0,1000.0,1004.0,1007.0,1012.0
rh (%),366.0,,,,0.6627322404371585,0.16883052830123332,0.27,0.52,0.64,0.82,0.97
slp (hPa),366.0,,,,1008.5737704918033,4.848812366021221,997.0,1005.0,1009.0,1013.0,1017.0
solar_rad (W/m²),366.0,,,,223.68852459016392,94.86573773877116,30.0,152.0,233.0,298.5,360.0
temp (°C),366.0,,,,28.10792349726776,3.419367490119695,20.8,25.9,28.1,30.2,36.3
wind_dir (°),366.0,,,,185.5792349726776,70.1342978293493,29.0,144.25,213.0,234.75,343.0
wind_gust_spd (m/s),366.0,,,,8.395628415300546,2.4739259495814094,4.0,6.4,8.0,10.0,16.8
wind_spd (m/s),366.0,,,,2.8978142076502738,1.2294538840712423,1.0,1.9249999999999998,2.6,3.575,7.4
