,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.36423497267759564,0.371027952985821,0.0,0.01,0.21,0.76,1.0,1.0,101.86499946951501
dewpt (°C),366.0,17.85928961748634,6.506579055142834,2.8,12.625,17.5,24.6,27.1,24.3,36.43246284987802
dhi (W/m²),366.0,49.01912568306011,5.4719374045673215,40.0,44.0,50.0,54.0,56.0,16.0,11.16286210396098
dni (W/m²),366.0,392.3879781420765,37.72760724230544,331.0,356.25,400.0,429.0,439.0,108.0,9.614873376330852
ghi (W/m²),366.0,298.3606557377049,57.26899740895037,204.0,242.25,312.5,354.0,364.0,160.0,19.194554076626222
max_dhi (W/m²),366.0,122.55464480874316,4.573421459487006,114.0,119.0,125.0,126.0,127.0,13.0,3.731740617929427
max_dni (W/m²),366.0,931.5136612021857,15.1823105154081,900.0,922.25,935.0,940.0,953.0,53.0,1.6298537689521622
max_ghi (W/m²),366.0,939.5601092896175,118.22145666219178,729.0,828.5,991.0,1046.0,1058.0,329.0,12.582638991727379
max_temp (°C),366.0,33.77349726775956,4.859672722363684,24.1,30.1,33.3,37.0,45.9,21.799999999999997,14.389012437283968
max_uv (Index),366.0,7.28087431693989,2.7370848006735744,2.3,5.5,6.9,9.3,12.1,9.8,37.59280385194117
max_wind_dir (°),366.0,196.5737704918033,83.55691208214523,30.0,128.75,229.0,264.0,339.0,309.0,42.506643624475515
max_wind_spd (m/s),366.0,4.0426229508196725,1.239857572429258,2.0,3.2,4.0,4.8,9.2,7.199999999999999,30.669631759199
min_temp (°C),366.0,23.13032786885246,6.059755716550156,10.7,17.4,25.6,27.8,32.6,21.900000000000002,26.198313101779615
precip (mm),366.0,2.996174863387978,9.227723957609058,0.0,0.0,0.0,0.8,91.5,91.5,307.9834915634612
precip_gpm (mm/hr),366.0,2.996174863387978,9.227723957609058,0.0,0.0,0.0,0.8,91.5,91.5,307.9834915634612
pres (hPa),366.0,1005.5191256830601,5.9618343504760904,993.0,1001.0,1006.0,1011.0,1016.0,23.0,0.5929110842547277
rh (%),366.0,0.5858469945355191,0.16498308283299662,0.22,0.47,0.57,0.73,0.95,0.73,28.16146269791846
slp (hPa),366.0,1008.2814207650273,6.021881028929526,996.0,1004.0,1009.0,1013.0,1019.0,23.0,0.5972420898483344
solar_rad (W/m²),366.0,234.36885245901638,86.03550087454792,38.0,185.0,237.0,302.75,364.0,326.0,36.70944324378291
temp (°C),366.0,27.941530054644804,5.29137026642008,17.5,23.325,29.1,31.375,38.8,21.299999999999997,18.937296046679734
wind_dir (°),366.0,196.5737704918033,83.55691208214523,30.0,128.75,229.0,264.0,339.0,309.0,42.506643624475515
wind_gust_spd (m/s),366.0,7.874863387978142,2.1717417687315286,4.0,6.4,7.6,9.2,19.2,15.2,27.57815166732841
wind_spd (m/s),366.0,2.847267759562842,0.9377505404176513,1.1,2.2,2.7,3.3,7.3,6.199999999999999,32.93510198568854
query_lat (°),366.0,23.2821620151596,0.0,23.2821620151596,23.2821620151596,23.2821620151596,23.2821620151596,23.2821620151596,0.0,0.0
query_lon (°),366.0,71.91534553201849,1.4230308324193497e-14,71.9153455320185,71.9153455320185,71.9153455320185,71.9153455320185,71.9153455320185,0.0,1.97875824956689e-14
