,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.3731967213114754,0.37486859738352213,0.0,0.02,0.225,0.76,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,20.288524590163934,5.240916944575789,6.5,16.3,21.4,25.3,27.1
dhi (W/m²),366.0,,,,49.385245901639344,4.97794597236152,41.0,45.0,51.0,54.0,55.0
dni (W/m²),366.0,,,,393.78142076502735,34.062493480153286,338.0,361.0,401.0,426.75,436.0
ghi (W/m²),366.0,,,,301.8661202185792,52.99827962808031,213.0,250.25,316.5,353.0,361.0
max_dhi (W/m²),366.0,,,,123.49453551912568,4.127252916042523,115.0,120.0,126.0,126.0,128.0
max_dni (W/m²),366.0,,,,934.1475409836065,13.197138833426234,908.0,927.25,936.0,941.0,955.0
max_ghi (W/m²),366.0,,,,951.9972677595629,109.34834368424156,754.0,850.25,1003.0,1047.0,1061.0
max_temp (°C),366.0,,,,30.970218579234974,2.876596820404402,24.8,28.9,30.7,32.6,38.5
max_uv (Index),366.0,,,,7.309562841530055,2.797707735895974,2.3,5.1,7.0,9.674999999999999,12.1
max_wind_dir (°),366.0,,,,195.50273224043715,81.798206385329,15.0,150.0,233.0,251.0,309.0
max_wind_spd (m/s),366.0,,,,5.4907103825136625,1.622671917396843,2.4,4.4,5.2,6.4,11.6
min_temp (°C),366.0,,,,24.627595628415303,3.835619392088733,15.9,21.5,26.3,27.4,31.9
precip (mm),366.0,,,,3.5147540983606556,11.32275443615901,0.0,0.0,0.0,0.5,130.8
precip_gpm (mm/hr),366.0,,,,3.5147540983606556,11.32275443615901,0.0,0.0,0.0,0.5,130.8
pres (hPa),366.0,,,,1003.5109289617486,5.072476438275248,991.0,1000.0,1004.0,1008.0,1012.0
rh (%),366.0,,,,0.6705464480874317,0.1500802589884302,0.33,0.5425,0.67,0.82,0.93
slp (hPa),366.0,,,,1008.655737704918,5.130254860506691,996.0,1005.0,1009.0,1013.0,1018.0
solar_rad (W/m²),366.0,,,,235.3360655737705,90.86469941523136,35.0,192.5,240.0,312.0,361.0
temp (°C),366.0,,,,27.530601092896177,3.2838405796819563,20.3,25.025,28.1,29.6,34.4
wind_dir (°),366.0,,,,195.50273224043715,81.798206385329,15.0,150.0,233.0,251.0,309.0
wind_gust_spd (m/s),366.0,,,,9.134426229508197,2.4648911335031527,4.0,7.3,8.8,10.4,18.4
wind_spd (m/s),366.0,,,,4.081147540983606,1.4757212474210117,1.6,3.1,3.8,4.875,9.9
market_name (Text),366,1,Rajula,366,,,,,,,
query_lat (°),366.0,,,,21.0339169150099,0.0,21.0339169150099,21.0339169150099,21.0339169150099,21.0339169150099,21.0339169150099
query_lon (°),366.0,,,,71.44391376556919,1.4230308324193497e-14,71.4439137655692,71.4439137655692,71.4439137655692,71.4439137655692,71.4439137655692
