,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.4263934426229508,0.38062399863966095,0.0,0.06,0.33,0.87,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,20.346994535519126,4.887544049197589,7.4,16.325,20.799999999999997,25.0,26.5
dhi (W/m²),366.0,,,,49.169398907103826,5.075727161012488,41.0,44.0,50.0,54.0,55.0
dni (W/m²),366.0,,,,395.8360655737705,34.83912789805534,341.0,363.0,399.5,431.0,439.0
ghi (W/m²),366.0,,,,301.94262295081967,53.72114185696679,212.0,249.5,316.5,354.0,362.0
max_dhi (W/m²),366.0,,,,122.68306010928961,4.113204587658948,115.0,119.0,125.0,126.0,127.0
max_dni (W/m²),366.0,,,,936.3934426229508,13.389972148711669,910.0,929.25,938.0,943.0,957.0
max_ghi (W/m²),366.0,,,,953.2568306010929,110.99161831767616,753.0,849.5,1004.5,1051.0,1063.0
max_temp (°C),366.0,,,,32.38360655737705,3.5821328456983355,25.6,29.6,31.9,34.8,41.5
max_uv (Index),366.0,,,,7.046994535519125,2.720088482640724,2.1,4.6,6.9,9.2,12.2
max_wind_dir (°),366.0,,,,189.49180327868854,73.39111728958245,35.0,130.75,223.0,239.0,335.0
max_wind_spd (m/s),366.0,,,,3.876502732240437,1.3821741098195728,1.6,2.8,3.6,4.8,8.4
min_temp (°C),366.0,,,,23.31502732240437,3.904759073734124,14.4,20.0,24.8,26.3,29.6
precip (mm),366.0,,,,5.538251366120219,14.833141759861558,0.0,0.0,0.0,1.725,105.8
precip_gpm (mm/hr),366.0,,,,5.538251366120219,14.833141759861558,0.0,0.0,0.0,1.725,105.8
pres (hPa),366.0,,,,993.2213114754098,4.639046244234037,982.0,990.0,994.0,997.0,1002.0
rh (%),366.0,,,,0.6859016393442624,0.15271113799765249,0.33,0.56,0.66,0.82,0.97
slp (hPa),366.0,,,,1008.6857923497267,4.840147773193736,997.0,1005.0,1009.0,1013.0,1017.0
solar_rad (W/m²),366.0,,,,222.10928961748633,95.94107250244096,31.0,153.0,233.0,300.0,361.0
temp (°C),366.0,,,,27.486612021857926,3.320275776179213,20.4,25.3,27.5,29.575000000000003,35.1
wind_dir (°),366.0,,,,189.49180327868854,73.39111728958245,35.0,130.75,223.0,239.0,335.0
wind_gust_spd (m/s),366.0,,,,8.16830601092896,2.7222232803891266,3.6,6.0,7.6,9.6,17.2
wind_spd (m/s),366.0,,,,2.7822404371584697,1.2281343048700792,1.1,1.825,2.4,3.5,6.9
market_name (Text),366,1,Songadh_Umrada,366,,,,,,,
query_lat (°),366.0,,,,21.16,0.0,21.16,21.16,21.16,21.16,21.16
query_lon (°),366.0,,,,73.56,0.0,73.56,73.56,73.56,73.56,73.56
